"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,           0,      -18.31687918,      -17.96127114,      -22.92566325,      -8.882413492
          0,           0,           1,       -9.33377451,      -3.962460836,      -10.35933169,      -9.309783043
          0,           0,           2,      -9.228757727,      -5.119478606,       -9.17836559,      -9.946934081
          0,           0,           3,      -9.206131674,      -5.648850625,      -8.971068307,      -10.56107337
          0,           0,           4,      -8.905473543,      -5.965919302,      -8.619017122,      -11.37158432
          0,           0,           5,       -9.08132364,      -6.003033646,      -8.958740278,      -11.83157709
          0,           0,           6,      -9.299896346,      -6.060187651,      -9.116963948,      -12.06457744
          0,           0,           7,      -9.269878859,      -6.142722339,      -9.298848086,      -12.15939085
          0,           0,           8,      -9.079314944,      -6.254199467,      -8.885461639,      -12.33135954
          0,           0,           9,      -9.234146235,       -6.26791629,       -9.21475535,      -12.34295174
          0,           0,          10,      -9.354130532,      -6.292795472,      -9.347794577,      -12.34882708
          0,           0,          11,      -9.542496319,      -6.335414046,      -9.438201966,      -12.34424807
          0,           0,          12,      -9.221214924,      -6.403173254,      -9.003025005,      -12.46595817
          0,           0,          13,      -9.403265319,      -6.411573849,      -9.285748683,      -12.46128609
          0,           0,          14,      -9.653128643,      -6.427415891,      -9.431171289,      -12.44622286
          0,           0,          15,      -9.707974163,      -6.456113701,      -9.575721295,      -12.41372285
          0,           0,          16,      -9.301223426,      -6.505026346,      -9.113862074,      -12.51726224
          0,           0,          17,      -9.457229194,      -6.511098472,      -9.407024359,      -12.50742961
          0,           0,          18,      -9.679242771,      -6.522759971,      -9.537619159,       -12.4852774
          0,           0,          19,      -9.804929635,      -6.544470572,      -9.612514604,      -12.44347793
          0,           0,          20,      -9.454940253,      -6.582912145,      -9.166831743,      -12.53761435
          0,           0,          21,      -9.617016568,      -6.587680083,      -9.452436378,      -12.52629907
          0,           0,          22,      -9.811990179,      -6.596936913,      -9.586753761,      -12.50238791
          0,           0,          23,      -9.819517972,        -6.6144513,      -9.653605078,      -12.45822956
          0,           0,          24,      -9.465176629,      -6.646219723,      -9.176816546,      -12.54662414
          0,           0,          25,      -9.642893668,      -6.650150168,      -9.478277508,      -12.53499508
          0,           0,          26,      -9.842495977,       -6.65784076,      -9.666960489,      -12.51099626
