"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -5.062918515,               -32,               -32,      0.3989549007
          0,           0,           1,      -5.387588193,      -2.754008422,      -4.336149201,     0.07657609121
          0,           0,           2,       -5.50004226,      -2.974463496,      -4.621453711,    -0.03450469294
          0,           0,           3,      -5.579503194,      -3.181579534,      -4.627891502,      -0.116687133
          0,           0,           4,       -5.73503979,      -3.222454721,       -4.59046836,     -0.2736343207
          0,           0,           5,      -5.812314651,      -3.276991791,      -4.644462689,     -0.3506957493
          0,           0,           6,      -5.846139001,      -3.313875785,      -4.715877011,     -0.3842141552
          0,           0,           7,      -5.872869422,      -3.333977299,       -4.76891705,     -0.4109133289
          0,           0,           8,      -5.899731785,      -3.344911374,      -4.811658088,     -0.4378530688
          0,           0,           9,      -5.935833051,      -3.343721387,      -4.856193327,     -0.4740369465
          0,           0,          10,      -5.992038112,      -3.329852285,      -4.904012711,     -0.5303515309
          0,           0,          11,      -6.083656083,      -3.308230023,      -4.944617581,     -0.6221409242
          0,           0,          12,        -6.2358918,      -3.287887384,      -4.954007008,     -0.7745945949
          0,           0,          13,      -6.497472477,      -3.277356616,      -4.922416484,      -1.035953298
          0,           0,          14,      -6.704666664,      -3.281726352,      -4.873742272,      -1.238895959
          0,           0,          15,      -6.411314209,      -3.301960109,      -4.835894212,     -0.9476295537
          0,           0,          16,      -6.216811099,      -3.335296415,      -4.820409329,     -0.7541267505
          0,           0,          17,      -6.108515983,      -3.376329124,      -4.825337845,     -0.6461906991
          0,           0,          18,        -6.0468136,       -3.41881811,       -4.84411657,     -0.5846326514
          0,           0,          19,      -6.010873063,      -3.458741204,      -4.870103112,     -0.5487526951
          0,           0,          20,      -5.987604872,      -3.496858722,      -4.898546616,     -0.5255228167
          0,           0,          21,      -5.968646836,      -3.538489327,      -4.927388102,     -0.5066131846
          0,           0,          22,      -5.949953212,      -3.591429016,      -4.957113863,     -0.4879846708
          0,           0,          23,      -5.931220343,      -3.664951774,      -4.990237028,     -0.4693176463
          0,           0,          24,      -5.914408466,      -3.771503539,       -5.03086676,     -0.4525484826
