"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -5.062918515,               -32,               -32,      0.3989549007
          0,           0,           1,       -5.38721221,      -2.753920559,      -4.264322139,     0.07695407002
          0,           0,           2,      -5.499905747,      -2.974393854,      -4.550308014,    -0.03436951258
          0,           0,           3,      -5.579454862,      -3.181533461,      -4.608388762,     -0.1166390367
          0,           0,           4,      -5.735011982,      -3.222443241,      -4.586659236,     -0.2736063158
          0,           0,           5,      -5.812306586,      -3.276986805,      -4.643029797,     -0.3506873154
          0,           0,           6,      -5.846135568,      -3.313874434,       -4.71544777,     -0.3842105567
          0,           0,           7,      -5.872867333,      -3.333977116,      -4.768783939,     -0.4109112305
          0,           0,           8,      -5.899730833,      -3.344910656,      -4.811623735,     -0.4378521469
          0,           0,           9,      -5.935833283,      -3.343720013,      -4.856182721,     -0.4740372036
          0,           0,          10,      -5.992038313,       -3.32985129,      -4.904003609,     -0.5303517408
          0,           0,          11,      -6.083654269,       -3.30822967,      -4.944608047,      -0.622139104
          0,           0,          12,      -6.235885913,      -3.287887538,      -4.953996052,     -0.7745886821
          0,           0,          13,      -6.497459737,      -3.277356579,       -4.92240553,      -1.035940543
          0,           0,          14,      -6.704662899,       -3.28172591,      -4.873732057,      -1.238892349
          0,           0,          15,      -6.411317147,      -3.301959433,      -4.835885507,     -0.9476324832
          0,           0,          16,      -6.216812193,       -3.33529572,      -4.820402954,     -0.7541278422
          0,           0,          17,      -6.108516199,      -3.376328525,      -4.825333969,     -0.6461909162
          0,           0,          18,       -6.04681349,      -3.418817615,      -4.844114735,     -0.5846325453
          0,           0,          19,      -6.010872847,      -3.458740775,      -4.870102551,     -0.5487524828
          0,           0,          20,      -5.987604612,       -3.49685834,      -4.898546501,     -0.5255225598
          0,           0,          21,      -5.968646546,      -3.538488986,      -4.927388076,     -0.5066128977
          0,           0,          22,      -5.949952913,      -3.591428693,      -4.957113776,     -0.4879843729
          0,           0,          23,      -5.931220059,      -3.664951388,       -4.99023682,     -0.4693173622
          0,           0,          24,      -5.914408208,      -3.771502934,      -5.030866166,     -0.4525482248
          0,           0,          25,      -5.902095447,      -3.932346346,      -5.084185879,     -0.4402404426
          0,           0,          26,       -5.89642935,      -4.183594546,      -5.155399398,     -0.4345441257
          0,           0,          27,      -5.898742487,      -4.334381544,      -5.247004585,     -0.4368090978
          0,           0,          28,      -5.909549269,      -4.065333459,      -5.349761459,     -0.4475739946
          0,           0,          29,      -5.928700427,      -3.861806747,      -5.423556221,      -0.466712041
          0,           0,          30,      -5.955617273,       -3.73045486,      -5.419959466,     -0.4936583673
          0,           0,          31,      -5.989612538,      -3.640600259,        -5.3667026,     -0.5277276629
